ENSMUSG00000085473	ENSMUST00000141816	predicted gene, 16686 [Source:MGI Symbol;Acc:MGI:4439610]	88755195	88755590	Gm16686-201		Gm16686
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased lactate dehydrogenase level	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	enlarged sebaceous gland	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	eyelids fail to open	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal iris morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased NK cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal behavior	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased mean corpuscular hemoglobin	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal respiratory quotient	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	other aberrant phenotype	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal pupil morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal placement of pupils	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	abnormal blastocyst formation	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	histone H3-K9 demethylation	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	negative regulation of gene expression epigenetic	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	increased circulating calcium level	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased lactate dehydrogenase level	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	enlarged sebaceous gland	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	eyelids fail to open	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal iris morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased NK cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal behavior	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased mean corpuscular hemoglobin	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal respiratory quotient	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	other aberrant phenotype	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal pupil morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal placement of pupils	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	abnormal blastocyst formation	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	histone H3-K9 demethylation	Kdm4c
ENSMUSG00000028397	ENSMUST00000030102	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-001	negative regulation of gene expression epigenetic	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	increased circulating calcium level	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased lactate dehydrogenase level	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	enlarged sebaceous gland	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	eyelids fail to open	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal iris morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased NK cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal behavior	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased mean corpuscular hemoglobin	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal respiratory quotient	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	other aberrant phenotype	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal pupil morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal placement of pupils	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	abnormal blastocyst formation	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	histone H3-K9 demethylation	Kdm4c
ENSMUSG00000028397	ENSMUST00000156065	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-004	negative regulation of gene expression epigenetic	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	increased circulating calcium level	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased lactate dehydrogenase level	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	enlarged sebaceous gland	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	eyelids fail to open	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal iris morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased NK cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal behavior	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased mean corpuscular hemoglobin	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal respiratory quotient	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	other aberrant phenotype	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal pupil morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal placement of pupils	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	abnormal blastocyst formation	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	histone H3-K9 demethylation	Kdm4c
ENSMUSG00000028397	ENSMUST00000149295	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-005	negative regulation of gene expression epigenetic	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	increased circulating calcium level	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased body weight	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased thermal nociceptive threshold	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased lactate dehydrogenase level	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	enlarged sebaceous gland	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	eyelids fail to open	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal iris morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased NK cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased hemoglobin content	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal behavior	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased mean corpuscular hemoglobin	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal respiratory quotient	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	other aberrant phenotype	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal pupil morphology	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal placement of pupils	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	decreased hematocrit	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	abnormal blastocyst formation	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	histone H3-K9 demethylation	Kdm4c
ENSMUSG00000028397	ENSMUST00000148753	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-003	negative regulation of gene expression epigenetic	Kdm4c
ENSMUSG00000028397	ENSMUST00000150439	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-002	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000150439	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-002	increased circulating calcium level	Kdm4c
ENSMUSG00000028397	ENSMUST00000150439	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-002	increased B cell number	Kdm4c
ENSMUSG00000028397	ENSMUST00000150439	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-002	decreased hematocrit	Kdm4c
